City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Hambantota,LK,2022-07-31 05:04:51,6.1241,81.1185,84.54,84,20,10.36
179,Novikovo,RU,2022-07-31 05:04:52,51.1537,37.8879,69.93,56,84,7.11
180,Ust-Nera,RU,2022-07-31 05:04:52,64.5667,143.2,73.78,54,90,2.66
181,Bengkulu,ID,2022-07-31 05:02:28,-3.8004,102.2655,84.67,64,99,5.39
182,Saltpond,GH,2022-07-31 05:04:53,5.2091,-1.0606,72.75,88,100,8.43
183,Zhangye,CN,2022-07-31 05:04:53,38.9342,100.4517,89.49,23,71,1.01
184,Saldanha,ZA,2022-07-31 05:04:54,-33.0117,17.9442,50.63,77,7,10.47
185,Kulhudhuffushi,MV,2022-07-31 05:04:54,6.6221,73.07,80.64,81,100,19.37
186,Chuy,UY,2022-07-31 05:04:55,-33.6971,-53.4616,47.95,80,50,4.05
187,Avarua,CK,2022-07-31 05:04:55,-21.2078,-159.775,75.25,73,40,14.97
188,Bayir,TR,2022-07-31 05:04:55,37.2687,28.2167,68.52,32,0,4.59
189,Kinshasa,CD,2022-07-31 05:03:50,-4.3246,15.3215,69.64,77,18,6.85
190,Moussoro,TD,2022-07-31 05:04:56,13.6408,16.4901,77.94,73,81,9.84
191,Kiama,AU,2022-07-31 05:04:56,-34.6833,150.8667,62.58,55,100,5.01
192,Shubarkuduk,KZ,2022-07-31 05:04:57,49.1447,56.4872,77.49,44,8,5.08
193,Kangaatsiaq,GL,2022-07-31 05:04:57,68.3065,-53.4641,41.68,97,92,11.27
194,Tuatapere,NZ,2022-07-31 05:04:58,-46.1333,167.6833,44.62,86,77,8.46
195,Kalmanka,RU,2022-07-31 05:04:58,52.8992,83.5433,70.66,71,99,3.69
196,Gambat,PK,2022-07-31 05:04:59,27.3515,68.5205,87.89,55,100,8.61
197,Hamilton,US,2022-07-31 05:01:43,39.1834,-84.5333,69.24,86,0,4.61
198,Kruisfontein,ZA,2022-07-31 05:04:59,-34.0033,24.7314,49.62,79,90,14.79
199,Wanning,CN,2022-07-31 05:05:00,18.8003,110.3967,88.25,68,40,9.19
200,Linjiang,CN,2022-07-31 05:05:00,41.8069,126.9078,85.71,65,100,3.09
201,Adrar,MR,2022-07-31 05:02:22,20.5022,-10.0711,85.35,50,5,10.49
202,Lodja,CD,2022-07-31 05:05:01,-3.4833,23.4333,73.29,72,78,1.83
203,Galle,LK,2022-07-31 05:05:02,6.0367,80.217,81.9,77,88,10.76
204,Noyabrsk,RU,2022-07-31 05:05:02,63.1994,75.4507,60.82,50,9,21.16
205,Kudahuvadhoo,MV,2022-07-31 05:05:02,2.6708,72.8944,78.28,85,100,17.49
206,Upernavik,GL,2022-07-31 05:05:03,72.7868,-56.1549,45.72,77,100,5.06
207,Ballina,AU,2022-07-31 05:05:04,-28.8667,153.5667,65.01,71,100,6.58
208,Omboue,GA,2022-07-31 05:05:04,-1.5746,9.2618,71.87,88,48,5.03
209,Vila Praia De Ancora,PT,2022-07-31 05:05:04,41.811,-8.8526,68.72,71,0,5.75
210,Geraldton,AU,2022-07-31 05:05:05,-28.7667,114.6,64.81,55,0,12.66
211,Dicabisagan,PH,2022-07-31 05:05:05,17.0818,122.4157,86.92,73,99,6.04
212,Egvekinot,RU,2022-07-31 05:03:13,66.3167,-179.1667,52.36,50,100,2.59
213,Road Town,VG,2022-07-31 05:00:30,18.4167,-64.6167,82.08,85,9,22.12
214,Cayenne,GF,2022-07-31 05:00:06,4.9333,-52.3333,78.1,1,75,0.0
215,Myitkyina,MM,2022-07-31 05:02:51,25.3833,97.4,87.58,70,68,2.59
216,Hualmay,PE,2022-07-31 05:05:07,-11.0964,-77.6139,61.32,85,4,9.22
217,Salinopolis,BR,2022-07-31 05:05:07,-0.6136,-47.3561,78.48,86,92,9.24
218,Margate,GB,2022-07-31 05:05:07,51.3813,1.3862,65.88,87,77,1.99
219,Tigil,RU,2022-07-31 05:05:08,57.8,158.6667,64.51,51,89,11.18
220,Dingle,PH,2022-07-31 05:05:08,10.9995,122.6711,86.67,72,97,8.55
221,Kachug,RU,2022-07-31 05:05:09,53.9606,105.8817,62.8,93,100,9.35
222,Santa Cruz,BO,2022-07-31 05:00:35,-17.8,-63.1667,62.87,57,9,5.66
223,Southbridge,US,2022-07-31 05:06:09,42.0751,-72.0334,67.86,87,0,3.76
224,Ahipara,NZ,2022-07-31 05:06:10,-35.1667,173.1667,55.06,61,40,18.61
225,Santiago Del Estero,AR,2022-07-31 05:01:34,-27.7951,-64.2615,57.27,31,0,6.06
226,Lagos,NG,2022-07-31 05:04:25,6.5833,3.75,73.62,88,100,5.82
227,Saint-Andre-Avellin,CA,2022-07-31 05:04:23,45.7168,-75.066,61.97,87,0,3.27
228,Ilulissat,GL,2022-07-31 05:06:11,69.2167,-51.1,46.42,81,75,3.44
229,Pozo Colorado,PY,2022-07-31 05:06:11,-23.4923,-58.7972,51.57,40,0,4.94
230,Fortuna,US,2022-07-31 05:02:23,40.5982,-124.1573,60.93,90,100,4.61
231,Superior,US,2022-07-31 05:04:14,46.7208,-92.1041,75.49,75,40,6.91
232,Dinghai,CN,2022-07-31 05:06:12,26.2847,119.7936,83.43,78,7,11.59
233,Vestmanna,FO,2022-07-31 05:06:12,62.1564,-7.1664,49.12,87,75,19.57
234,Vostok,RU,2022-07-31 05:06:13,46.4856,135.8833,77.97,69,100,5.99
235,Tanout,NE,2022-07-31 05:06:13,14.9709,8.8879,76.32,64,100,10.56
236,Husavik,IS,2022-07-31 05:06:14,66.0449,-17.3389,44.11,90,100,15.95
237,Talas,TR,2022-07-31 05:06:14,38.6908,35.5538,65.07,48,0,2.3
238,Harper,LR,2022-07-31 05:06:14,4.375,-7.7169,74.93,81,99,5.28
239,Hibbing,US,2022-07-31 05:06:15,47.4272,-92.9377,71.2,78,40,3.44
240,Huambo,AO,2022-07-31 05:06:15,-12.7761,15.7392,51.13,71,0,0.72
241,Suyo,PH,2022-07-31 05:06:16,16.9762,120.5254,87.31,70,100,7.43
242,Port Blair,IN,2022-07-31 05:06:16,11.6667,92.75,84.63,76,100,14.2
243,Laguna,US,2022-07-31 05:06:16,38.421,-121.4238,79.45,70,0,12.66
244,Avera,US,2022-07-31 05:06:17,33.194,-82.5271,76.55,90,69,3.09
245,Shimoda,JP,2022-07-31 05:06:17,34.6667,138.95,93.11,70,0,13.51
246,Nsanje,MW,2022-07-31 05:06:18,-16.92,35.262,64.72,87,0,1.3
247,Ribeira Brava,PT,2022-07-31 05:06:18,32.65,-17.0667,70.72,84,10,5.41
248,Kodiak,US,2022-07-31 05:01:58,57.79,-152.4072,62.11,72,100,5.75
249,Alyangula,AU,2022-07-31 05:06:19,-13.8483,136.4192,77.36,65,24,5.26
250,Merauke,ID,2022-07-31 05:06:19,-8.4667,140.3333,81.03,77,77,18.32
251,Lavrentiya,RU,2022-07-31 05:06:20,65.5833,-171.0,45.63,79,88,6.73
252,Sitka,US,2022-07-31 05:06:20,57.0531,-135.33,58.89,94,100,3.44
253,Kholmogory,RU,2022-07-31 05:06:21,64.2229,41.656,62.96,76,4,3.89
254,Acapulco,MX,2022-07-31 05:05:16,16.8634,-99.8901,82.22,78,75,3.44
255,Lata,PT,2022-07-31 05:06:21,40.1629,-8.3327,69.31,52,0,3.51
256,Severo-Kurilsk,RU,2022-07-31 05:06:22,50.6789,156.125,56.1,85,27,10.02
257,Beringovskiy,RU,2022-07-31 05:06:22,63.05,179.3167,51.48,69,100,3.87
258,Suntar,RU,2022-07-31 05:06:22,62.1444,117.6319,80.87,43,95,5.68
259,Priargunsk,RU,2022-07-31 05:06:23,50.3691,119.1012,76.26,62,100,2.57
260,Nouadhibou,MR,2022-07-31 05:06:23,20.931,-17.0347,70.7,90,65,11.01
261,Fauske,NO,2022-07-31 05:06:24,67.2588,15.3918,64.78,65,0,6.35
262,Lasa,IT,2022-07-31 05:06:24,46.6166,10.7002,54.36,78,15,5.66
263,Watertown,US,2022-07-31 05:06:25,42.3709,-71.1828,71.35,72,0,5.01
264,Kariba,ZW,2022-07-31 05:06:25,-16.5167,28.8,55.4,48,0,4.12
265,Constitucion,CL,2022-07-31 05:06:25,-35.3333,-72.4167,50.07,91,61,5.01
266,Rawson,AR,2022-07-31 05:06:26,-43.3002,-65.1023,42.84,66,75,8.57
267,San Patricio,US,2022-07-31 05:06:26,28.017,-97.5169,85.89,73,71,13.33
268,Tommot,RU,2022-07-31 05:06:27,58.9564,126.2925,87.3,34,88,7.99
269,Taoudenni,ML,2022-07-31 05:07:27,22.6783,-3.9836,90.91,37,70,11.97
270,Ponta Do Sol,PT,2022-07-31 05:07:28,32.6667,-17.1,70.72,82,12,5.26
271,Bemidji,US,2022-07-31 05:07:28,47.4736,-94.8803,73.49,64,0,5.75
272,Washington,US,2022-07-31 05:07:18,47.5001,-120.5015,88.2,35,0,6.96
273,Worland,US,2022-07-31 05:07:29,44.0169,-107.9554,83.88,27,0,4.61
274,Maldonado,UY,2022-07-31 05:07:29,-34.6667,-54.9167,49.23,85,100,3.87
275,Sackville,CA,2022-07-31 05:07:29,45.9188,-64.3846,65.32,83,0,7.11
276,Kingisepp,RU,2022-07-31 05:07:30,59.3733,28.6134,59.9,75,18,5.14
277,Buxton,GB,2022-07-31 05:03:58,53.2574,-1.9098,61.5,94,100,9.73
278,Barra Patuca,HN,2022-07-31 05:07:30,15.8,-84.2833,80.22,83,85,10.58
279,Fukue,JP,2022-07-31 05:02:33,32.6881,128.8419,82.08,86,99,26.62
280,Kaduna,NG,2022-07-31 05:07:31,10.5222,7.4383,67.5,93,99,4.61
281,Half Moon Bay,US,2022-07-31 05:07:31,37.4636,-122.4286,65.91,90,100,10.36
282,Tual,ID,2022-07-31 05:07:32,-5.6667,132.75,79.21,86,67,19.57
283,Hami,CN,2022-07-31 05:07:32,42.8,93.45,95.16,16,94,10.45
284,Prabumulih,ID,2022-07-31 05:07:33,-3.45,104.25,83.95,70,100,3.18
285,Paamiut,GL,2022-07-31 05:03:15,61.994,-49.6678,42.76,93,83,9.01
286,Yar-Sale,RU,2022-07-31 05:07:33,66.8333,70.8333,58.96,51,45,11.01
287,Porbandar,IN,2022-07-31 05:02:56,21.6422,69.6093,83.05,74,94,16.22
288,North Bend,US,2022-07-31 05:07:34,43.4065,-124.2243,61.92,100,100,3.44
289,Wundanyi,KE,2022-07-31 05:07:34,-3.4019,38.364,60.1,71,59,7.07
290,Tiksi,RU,2022-07-31 05:07:35,71.6872,128.8694,53.89,69,100,5.59
